,id,title,type,description,release_year,genres,production_countries,imdb_score,actors,directors
0,0,five came back: the reference films,show,"this collection includes 12 world war ii-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""five came back.""",1945,documentation,us,-1,,
1,1,rocky,movie,"when world heavyweight boxing champion, apollo creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka rocky balboa, an uneducated collector for a philadelphia loan shark. rocky teams up with trainer  mickey goldmill to make the most of this once in a lifetime break.",1976,drama|sport,us,8,sylvester-stallone|talia-shire|burt-young|carl-weathers|burgess-meredith|thayer-david|joe-spinell|jimmy-gambina|bill-baldwin|al-silvani|george-memmoli|jodi-letizia|diana-lewis|george-o'hanlon|larry-carroll|stan-shaw|don-sherman|billy-sands|pedro-lovell|deforest-covan|simmy-bow|tony-burton|hank-rolike|shirley-o'hara|kathleen-parker|frank-stallone|lloyd-kaufman|jane-marla-robbins|jack-hollander|joe-sorbello|christopher-avildsen|frankie-van|lou-fillipo|paris-eagle|frank-stallone|robert-l.-tangrea|peter-glassberg|william-e.-ring|joseph-c.-giambelluc|joe-frazier|butkus-stallone|michael-dorn|arnold-johnson|stu-nahan|frank-pesce|lavelle-roby|arthur-tovey|john-pleshette|butkus-stallone,john-g.-avildsen
2,2,grease,movie,"australian good girl sandy and greaser danny fell in love over the summer. but when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",1978,romance|comedy,us,7,john-travolta|olivia-newton-john|stockard-channing|jeff-conaway|barry-pearl|michael-tucci|kelly-ward|didi-conn|jamie-donnelly|dinah-manoff|eve-arden|frankie-avalon|joan-blondell|edd-byrnes|sid-caesar|alice-ghostley|dody-goodman|susan-buckner|lorenzo-lamas|fannie-flagg|dick-patterson|eddie-deezen|darrell-zwerling|ellen-travolta|annette-charles|dennis-stewart|barbi-alison|helena-andreyko|jennifer-buchanan|carol-culver|cindy-devore|deborah-fishman|antonia-franceschi|sandra-gray|mimi-lieber|judy-susman|larry-dusich|john-robert-garrett|daniel-levins|sean-moran|greg-rosatti|andy-roth|lou-spadaccini|andy-tennant|richard-weisman|michael-biehn|wendie-jo-sperber,randal-kleiser
3,3,the sting,movie,a novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.,1973,crime|drama|comedy|music,us,8,paul-newman|robert-redford|robert-shaw|charles-durning|ray-walston|eileen-brennan|harold-gould|john-heffernan|dana-elcar|jack-kehoe|dimitra-arliss|robert-earl-jones|james-sloyan|charles-dierkop|lee-paul|sally-kirkland|avon-long|arch-johnson|ed-bakey|brad-sullivan|john-quade|larry-d.-mann|leonard-barr|paulene-myers|joe-tornatore|jack-collins|tom-spratley|kenneth-o'brien|ken-sansom|ta-tanisha|william-benedict|robert-brubaker|kathleen-freeman|susan-french|bruce-kimball|alexander-lockwood|chuck-morrell|byron-morrow|pearl-shear|arthur-tovey|guy-way|jim-michael,george-roy-hill
4,4,rocky ii,movie,"after rocky goes the distance with champ apollo creed, both try to put the fight behind them and move on. rocky settles down with adrian but can't put his life together outside the ring, while creed seeks a rematch to restore his reputation. soon enough, the ""master of disaster"" and the ""italian stallion"" are set on a collision course for a climactic battle that is brutal and unforgettable.",1979,drama|sport,us,7,"sylvester-stallone|talia-shire|burt-young|carl-weathers|burgess-meredith|tony-burton|joe-spinell|leonard-gaines|butkus-stallone|sylvia-meals|frank-mcrae|al-silvani|john-pleshette|stu-nahan|bill-baldwin|jerry-ziesmer|paul-micale|earl-montgomery|herb-nanas|stuart-k.-robinson|frank-stallone|charles-""honi""-coles|doug-flor|robert-kondyra|james-zazzarino|eddie-'el-annimal'-lopez|taurean-blacque|james-j.-casino|shaka-cumbuka|roberto-durán|lou-fillipo|ruth-ann-flynn|grainger-hines|garrie-kelly|ava-lazar|joseph-letizia|rené-le-vant|tawny-little|paul-mccrane|sonny-melendrez|tony-munafo|brent-musburger|ed-ness|fred-pinkard|jane-marla-robbins|hank-rolike|david-l.-ross|fran-ryan|whitney-rydbeck|shepherd-sanders|jeff-temkin|allan-warnick|charles-winkler|james-zaza|samuel-davis|rutanya-alda|butkus-stallone",sylvester-stallone
5,5,monty python and the holy grail,movie,"king arthur, accompanied by his squire, recruits his knights of the round table, including sir bedevere the wise, sir lancelot the brave, sir robin the not-quite-so-brave-as-sir-lancelot and sir galahad the pure. on the way, arthur battles the black knight who, despite having had all his limbs chopped off, insists he can still fight. they reach camelot, but arthur decides not  to enter, as ""it is a silly place"".",1975,fantasy|comedy,gb,8,graham-chapman|john-cleese|eric-idle|terry-gilliam|terry-jones|michael-palin|connie-booth|carol-cleveland|neil-innes|bee-duffell|john-young|rita-davies|avril-stewart|sally-kinghorn|mark-zycon|elspeth-cameron|mitsuko-forstater|sandy-johnson|sandy-rose|romilly-squire|joni-flynn|alison-walker|loraine-ward|anna-lanski|sally-coombe|vivienne-macdonald|yvonne-dick|daphne-darling|fiona-gordon|judy-lamb|tracy-sneddon|joyce-pollner|mary-allen|gloria-graham|sylvia-taylor|iain-banks|julian-doyle|margarita-doyle|zack-matalon|scott-mike|william-palin|terry-jones|tom-raeburn|brian-ross|roy-forge-smith|john-thornton|maggie-weston,terry-gilliam|terry-jones
6,6,animal house,movie,"at a 1962 college, dean vernon wormer is determined to expel the entire delta tau chi fraternity, but those troublemakers have other plans for him.",1978,comedy,us,7,john-belushi|tim-matheson|john-vernon|verna-bloom|tom-hulce|cesare-danova|peter-riegert|mary-louise-weller|stephen-furst|james-widdoes|bruce-mcgill|mark-metcalf|dewayne-jessie|karen-allen|james-daughton|martha-smith|sarah-holcomb|lisa-baur|kevin-bacon|donald-sutherland|douglas-kenney|chris-miller|bruce-bonnheim|joshua-daniel|sunny-johnson|stacy-grooman|eliza-roberts|aseneth-jurgenson|katherine-denning|raymone-robinson|robert-elliott|reginald-farmer|jebidiah-r.-dumas|priscilla-lauris|rick-eby|john-freeman|sean-mccartin|helen-vick|rick-greenough|stephen-bishop|john-landis,john-landis
7,7,monty python's flying circus,show,"a british sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,comedy|european,gb,9,graham-chapman|michael-palin|terry-jones|eric-idle|terry-gilliam,
8,8,life of brian,movie,"brian cohen is an average young jewish man, but through a series of ridiculous events, he gains a reputation as the messiah. when he's not dodging his followers or being scolded by his shrill mother, the hapless brian has to contend with the pompous pontius pilate and acronym-obsessed members of a separatist movement. rife with monty python's signature absurdity, the tale finds brian's life paralleling biblical lore, albeit with many more laughs.",1979,comedy,gb,8,graham-chapman|john-cleese|terry-gilliam|eric-idle|terry-jones|michael-palin|terence-bayler|carol-cleveland|kenneth-colley|neil-innes|charles-mckeown|john-young|gwen-taylor|sue-jones-davies|peter-brett|john-case|chris-langham|andrew-maclachlan|bernard-mckenna|spike-milligan|george-harrison,terry-jones
9,9,white christmas,movie,two talented song-and-dance men team up after the war to become one of the hottest acts in show business. in time they befriend and become romantically involved with the beautiful haynes sisters who comprise a sister act.,1954,comedy|music|romance,us,8,bing-crosby|danny-kaye|rosemary-clooney|vera-ellen|dean-jagger|mary-wickes|john-brascia|anne-whitfield|bea-allen|frank-baker|glen-cargyle|george-chakiris|barrie-chase|lorinne-crawford|franklyn-farnum|bess-flowers|gavin-gordon|johnny-grant|percy-helton|i.-stanford-jolley|sig-ruman|grady-sutton|herb-vigran|robert-crosson,michael-curtiz
