,title,author,date
7944,How Putin Forged a Pipeline Deal That Derailed  - The New York Times,Jim Yardley,2014-12-30
7945,"A Veteran’s Chemical Burns Expanded Military Doctors’ Knowledge, but His Care Faltered - The New York Times",C. J. Chivers,2014-12-30
7946,"What Made College Football More Like the Pros? $7.3 Billion, for a Start - The New York Times",Marc Tracy,2014-12-30
7947,Searchers Pull AirAsia Plane Debris and Bodies From Java Sea - The New York Times,Thomas Fuller,2014-12-30
7962,The Art World’s Patron Satan - The New York Times,Christopher Glazek,2014-12-30
7948,Palestinians Set to Seek Redress in a World Court - The New York Times,Jodi Rudoren,2014-12-31
7949,Crash of AirAsia Flight 8501 Spotlights Indonesia’s Poor Air Safety Record - The New York Times,Thomas Fuller,2014-12-31
7950,AirAsia’s Chief Responds to Crisis With Quick Compassion - The New York Times,Alexandra Stevenson,2014-12-31
7951,Palestinians Set to Seek Redress in a World Court - The New York Times,Jodi Rudoren,2014-12-31
7952,"Mission Ends in Afghanistan, but Sacrifices Are Not Over for U.S. Soldiers - The New York Times",Dave Philipps,2014-12-31
7953,"With Schoolgirls Taken by Boko Haram Still Missing, U.S.-Nigeria Ties Falter - The New York Times",Eric Schmitt,2014-12-31
7963,Time to Assess Your Financial Fitness - The New York Times,Ron Lieber,2015-01-02
7961,"One Last Confluence for Mario and Andrew Cuomo, Proud Rivals - The New York Times",Adam Nagourney,2015-01-02
7959,More Sanctions on North Korea After Sony Case - The New York Times,David E. Sanger,2015-01-02
7958,Fight on Guns Is Being Taken to State Ballots - The New York Times,Jennifer Steinhauer,2015-01-02
7960,"In Sweden, the Land of the Open Door, Anti-Muslim Sentiment Finds a Foothold  - The New York Times",Melissa Eddy,2015-01-02
7956,More Sanctions on North Korea After Sony Case - The New York Times,David E. Sanger,2015-01-02
7955,"One Last Confluence for Mario and Andrew Cuomo, Proud Rivals - The New York Times",Adam Nagourney,2015-01-02
